id|name|description|monster|type|tier_icon|client_sort_id
105|Corrupted Warrior|Kill the Corrupted Hunllef with a full set of perfected corrupted armour equipped.|Corrupted Hunllef|Restriction|3403|253
107|Corrupted Gauntlet Speed-Chaser|Complete a Corrupted Gauntlet in less than 7 minutes and 30 seconds.|Corrupted Hunllef|Speed|3403|254
110|Gauntlet Master|Complete the Gauntlet 100 times.|Crystalline Hunllef|Kill Count|3403|255
112|Perfect Crystalline Hunllef|Kill the Crystalline Hunllef without taking damage from: Tornadoes, Damaging Floor or Stomp Attacks. Also, do not take damage off prayer and do not attack the Crystalline Hunleff with the wrong weapon.|Crystalline Hunllef|Perfection|3403|256
113|Defence Doesn't Matter|Kill the Crystalline Hunllef without making any armour within the Gauntlet.|Crystalline Hunllef|Restriction|3403|257
117|Gauntlet Speed-Chaser|Complete the Gauntlet in less than 5 minutes.|Crystalline Hunllef|Speed|3403|258
128|Hespori Speed-Chaser|Kill the Hespori in less than 36 seconds.|Hespori|Speed|3403|259
136|Alchemical Grandmaster|Kill the Alchemical Hydra 250 times.|Alchemical Hydra|Kill Count|3403|260
137|Unrequired Antipoisons|Kill the Alchemical Hydra without being hit by the acid pool attack.|Alchemical Hydra|Mechanical|3403|261
138|Lightning Lure|Kill the Alchemical Hydra without being hit by the lightning attack.|Alchemical Hydra|Mechanical|3403|262
139|Don't Flame Me|Kill the Alchemical Hydra without being hit by the flame wall attack.|Alchemical Hydra|Mechanical|3403|263
140|Mixing Correctly|Kill the Alchemical Hydra without empowering it.|Alchemical Hydra|Mechanical|3403|264
141|The Flame Skipper|Kill the Alchemical Hydra without letting it spawn a flame wall attack.|Alchemical Hydra|Mechanical|3403|265
142|Alcleanical Hydra|Kill the Alchemical Hydra without taking any damage.|Alchemical Hydra|Perfection|3403|266
144|Alchemical Speed-Chaser|Kill the Alchemical Hydra in less than 1 minute 45 seconds.|Alchemical Hydra|Speed|3403|267
146|Working Overtime|Kill the Alchemical Hydra 15 times without leaving the room.|Alchemical Hydra|Stamina|3403|268
148|Fight Caves Master|Complete the Fight Caves 10 times.|TzTok-Jad|Kill Count|3403|269
150|Denying the Healers|Complete the Fight caves without letting any of the Yt-MejKot heal.|TzTok-Jad|Mechanical|3403|270
152|You Didn't Say Anything About a Bat|Complete the Fight Caves without being attacked by a Tz-Kih.|TzTok-Jad|Mechanical|3403|271
155|Fight Caves Speed-Chaser|Complete the Fight Caves in less than 30 minutes.|TzTok-Jad|Speed|3403|272
172|One Hundred Tentacles|Kill the Kraken 100 times in a privately rented instance without leaving the room.|Kraken|Stamina|3403|273
185|Nightmare Veteran|Kill The Nightmare 250 times.|The Nightmare|Kill Count|3403|274
188|Perfect Nightmare|Kill the Nightmare without any player taking damage from the following attacks: Nightmare rifts, an un-cured parasite explosion, Corpse flowers or the Nightmare's Surge. Also, no player can take damage off prayer or have their attacks slowed by the Nightmare spores.|The Nightmare|Perfection|3403|275
191|Nightmare (Solo) Speed-Trialist|Defeat the Nightmare (Solo) in less than 23 minutes.|The Nightmare|Speed|3403|276
192|Nightmare (Solo) Speed-Chaser|Defeat the Nightmare (Solo) in less than 19 minutes.|The Nightmare|Speed|3403|277
195|Nightmare (5-Scale) Speed-Chaser|Defeat the Nightmare (5-scale) in less than 4 minutes.|The Nightmare|Speed|3403|278
215|Moving Collateral|Kill Commander Zilyana in a privately rented instance without attacking her directly.|Commander Zilyana|Restriction|3403|279
226|Zulrah Master|Kill Zulrah 250 times.|Zulrah|Kill Count|3403|280
229|Perfect Zulrah|Kill Zulrah whilst taking no damage from the following: Snakelings, Venom Clouds, Zulrah's Green or Crimson phase.|Zulrah|Perfection|3403|281
231|Zulrah Speed-Chaser|Kill Zulrah in less than 1 minute, without a slayer task.|Zulrah|Speed|3403|282
250|Can't Drain This|Kill The Maiden of Sugadinti without anyone in the team losing any prayer points.|Theatre of Blood|Restriction|3403|283
244|Perfect Maiden|Kill The Maiden of Sugadinti without anyone in the team taking damage from the following sources: Blood Spawn projectiles and Blood Spawn trails. Also, without taking damage off prayer and without letting any of the Nylocas Matomenos heal The Maiden.|Theatre of Blood|Perfection|3403|284
240|Two-Down|Kill the Pestilent Bloat before he shuts down for the third time.|Theatre of Blood|Mechanical|3403|285
245|Perfect Bloat|Kill the Pestilent Bloat without anyone in the team taking damage from the following sources: Pestilent flies, Falling body parts or The Pestilent Bloats stomp attack.|Theatre of Blood|Perfection|3403|286
246|Perfect Nylocas|Kill the Nylocas Vasilias without anyone in the team attacking any Nylocas with the wrong attack style, without letting a pillar collapse and without getting hit by any of the Nylocas Vasilias attacks whilst off prayer.|Theatre of Blood|Perfection|3403|287
242|A Timely Snack|Kill Sotetseg after surviving at least 3 ball attacks without sharing the damage and without anyone dying throughout the fight.|Theatre of Blood|Mechanical|3403|288
247|Perfect Sotesteg|Kill Sotetseg without anyone in the team stepping on the wrong tile in the maze, without getting hit by the tornado and without taking any damage from Sotetseg's attacks whilst off prayer.|Theatre of Blood|Perfection|3403|289
251|Can You Dance?|Kill Xarpus without anyone in the team using a ranged or magic weapon.|Theatre of Blood|Restriction|3403|290
248|Perfect Xarpus|Kill Xarpus without anyone in the team taking any damage from Xarpus' attacks and without letting an exhumed heal Xarpus more than twice.|Theatre of Blood|Perfection|3403|291
241|Pop It|Kill Verzik without any Nylocas being frozen and without anyone taking damage from the Nylocas.|Theatre of Blood|Mechanical|3403|292
249|Perfect Verzik|Defeat Verzik Vitur without anyone in the team taking damage from Verzik Vitur's attacks other than her spider form's correctly prayed against regular magical and ranged attacks.|Theatre of Blood|Perfection|3403|293
253|Back in My Day...|Complete the Theatre of Blood without any member of the team equipping a Scythe of Vitur.|Theatre of Blood|Restriction|3403|294
255|Theatre (Trio) Speed-Chaser|Complete the Theatre of Blood (Trio) in less than 20 minutes.|Theatre of Blood|Speed|3403|295
257|Theatre (4-Scale) Speed-Chaser|Complete the Theatre of Blood (4-scale) in less than 17 minutes.|Theatre of Blood|Speed|3403|296
259|Theatre (5-Scale) Speed-Chaser|Complete the Theatre of Blood (5-scale) in less than 16 minutes.|Theatre of Blood|Speed|3403|297
238|Theatre of Blood Master|Complete the Theatre of Blood 150 times.|Theatre of Blood|Kill Count|3403|298
269|Vorkath Master|Kill Vorkath 250 times.|Vorkath|Kill Count|3403|299
270|The Walk|Hit Vorkath 12 times during the acid special without getting hit by his rapid fire or the acid pools.|Vorkath|Mechanical|3403|300
272|Dodging the Dragon|Kill Vorkath 5 times without taking any damage from his special attacks and without leaving his area.|Vorkath|Perfection|3403|301
276|Vorkath Speed-Chaser|Kill Vorkath in less than 1 minute and 15 seconds.|Vorkath|Speed|3403|302
278|Extended Encounter|Kill Vorkath 10 times without leaving his area.|Vorkath|Stamina|3403|303
288|Chambers of Xeric: CM Master|Complete the Chambers of Xeric: Challenge Mode 50 times.|Chambers of Xeric: CM|Kill Count|3403|304
290|Immortal Raid Team|Complete a Chambers of Xeric: Challenge mode raid without anyone dying.|Chambers of Xeric: CM|Perfection|3403|305
291|Immortal Raider|Complete a Chambers of Xeric Challenge mode (Solo) raid without dying.|Chambers of Xeric: CM|Perfection|3403|306
293|Chambers of Xeric: CM (Solo) Speed-Chaser|Complete a Chambers of Xeric: Challenge Mode (Solo) in less than 45 minutes.|Chambers of Xeric: CM|Speed|3403|307
295|Chambers of Xeric: CM (5-Scale) Speed-Chaser|Complete a Chambers of Xeric: Challenge Mode (5-scale) in less than 30 minutes.|Chambers of Xeric: CM|Speed|3403|308
297|Chambers of Xeric: CM (Trio) Speed-Chaser|Complete a Chambers of Xeric: Challenge Mode (Trio) in less than 35 minutes.|Chambers of Xeric: CM|Speed|3403|309
300|Chambers of Xeric Master|Complete the Chambers of Xeric 150 times.|Chambers of Xeric|Kill Count|3403|310
304|No Time for Death|Clear the Tightrope room without Killing any Deathly Mages or Deathly Rangers.|Chambers of Xeric|Mechanical|3403|311
305|Putting It Olm on the Line|Complete a Chambers of Xeric solo raid with more than 40,000 points.|Chambers of Xeric|Mechanical|3403|312
306|A Not So Special Lizard|Kill the Great Olm in a solo raid without letting him use any of the following special attacks in his second to last phase: Crystal Burst, Lightning Walls, Teleportation Portals or left-hand autohealing.|Chambers of Xeric|Mechanical|3403|313
309|Stop Drop and Roll|Kill Vasa Nistirio before he performs his teleport attack for the second time.|Chambers of Xeric|Mechanical|3403|314
310|Anvil No More|Kill Tekton before he returns to his anvil for a second time after the fight begins.|Chambers of Xeric|Mechanical|3403|315
313|Undying Raider|Complete a Chambers of Xeric solo raid without dying.|Chambers of Xeric|Perfection|3403|316
315|Playing with Lasers|Clear the Crystal Crabs room without wasting an orb after the first crystal has been activated.|Chambers of Xeric|Perfection|3403|317
317|Perfect Olm (Solo)|Kill the Great Olm in a solo raid without taking damage from any of the following: Teleport portals, Fire Walls, Healing pools, Crystal Bombs, Crystal Burst or Prayer Orbs. You also cannot let his claws regenerate or take damage from the same acid pool back to back.|Chambers of Xeric|Perfection|3403|318
318|Perfect Olm (Trio)|Kill the Great Olm in a trio raid without any team member taking damage from any of the following: Teleport portals, Fire Walls, Healing pools, Crystal Bombs, Crystal Burst or Prayer Orbs. You also cannot let his claws regenerate or take damage from the same acid pool back to back.|Chambers of Xeric|Perfection|3403|319
319|Blind Spot|Kill Tekton without taking any damage.|Chambers of Xeric|Perfection|3403|320
322|Chambers of Xeric (Solo) Speed-Chaser|Complete a Chambers of Xeric (Solo) in less than 21 minutes.|Chambers of Xeric|Speed|3403|321
326|Chambers of Xeric (Trio) Speed-Chaser|Complete a Chambers of Xeric (Trio) in less than 16 minutes and 30 seconds.|Chambers of Xeric|Speed|3403|322
324|Chambers of Xeric (5-Scale) Speed-Chaser|Complete a Chambers of Xeric (5-scale) in less than 15 minutes.|Chambers of Xeric|Speed|3403|323
346|Nibblers, Begone!|Kill TzKal-Zuk without letting a pillar fall before wave 67.|TzKal-Zuk|Perfection|3403|324
362|The IV Jad Challenge|Complete TzHaar-Ket-Rak's fourth challenge.|TzHaar-Ket-Rak's Challenges|Kill Count|3403|325
365|TzHaar-Ket-Rak's Speed-Chaser|Complete TzHaar-Ket-Rak's third challenge in less than 3 minutes.|TzHaar-Ket-Rak's Challenges|Speed|3403|326
368|Facing Jad Head-on IV|Complete TzHaar-Ket-Rak's fourth challenge with only melee.|TzHaar-Ket-Rak's Challenges|Restriction|3403|327
369|Supplies? Who Needs 'em?|Complete TzHaar-Ket-Rak's third challenge without having anything in your inventory.|TzHaar-Ket-Rak's Challenges|Perfection|3403|328
371|Multi-Style Specialist|Complete TzHaar-Ket-Rak's third challenge while using a different attack style for each JalTok-Jad.|TzHaar-Ket-Rak's Challenges|Mechanical|3403|329
381|Hard Mode? Completed It|Complete the Theatre of Blood: Hard Mode within the challenge time.|Theatre of Blood: Hard Mode|Speed|3403|330
396|Theatre of Blood: SM Speed-Chaser|Complete the Theatre of Blood: Entry Mode in less than 17 minutes.|Theatre of Blood: Entry Mode|Speed|3403|331
401|Phosani's Adept|Kill Phosani's Nightmare 25 times.|Phosani's Nightmare|Kill Count|3403|332
404|Phosani's Speedchaser|Kill Phosani's Nightmare within 9 minutes.|Phosani's Nightmare|Speed|3403|333
406|Crush Hour|Kill Phosani's Nightmare while killing every husk and parasite in one hit.|Phosani's Nightmare|Mechanical|3403|334
407|I Would Simply React|Kill Phosani's Nightmare without her disabling your prayer.|Phosani's Nightmare|Mechanical|3403|335
408|Dreamland Express|Kill Phosani's Nightmare without letting a sleepwalker reach her during the desperation phase.|Phosani's Nightmare|Mechanical|3403|336
14|The Worst Ranged Weapon|Kill Kree'arra by only dealing damage to him with a salamander.|Kree'arra|Restriction|3404|337
15|Feather Hunter|Kill Kree'arra 30 times in a privately rented instance without leaving the room.|Kree'arra|Stamina|3404|338
21|Defence Matters|Kill General Graardor 2 times consecutively in a privately rented instance without taking any damage from his bodyguards.|General Graardor|Perfection|3404|339
22|Keep Away|Kill General Graardor in a privately rented instance without taking any damage from the boss or bodyguards.|General Graardor|Perfection|3404|340
23|Ourg Killer|Kill General Graardor 15 times in a privately rented instance without leaving the room.|General Graardor|Stamina|3404|341
94|Grotesque Guardians Speed-Runner|Kill the Grotesque Guardians in less than 1:20 minutes.|Grotesque Guardians|Speed|3404|342
100|Corrupted Gauntlet Grandmaster|Complete the Corrupted Gauntlet 150 times.|Corrupted Hunllef|Kill Count|3404|343
104|Egniol Diet II|Kill the Corrupted Hunllef without making an egniol potion within the Corrupted Gauntlet.|Corrupted Hunllef|Restriction|3404|344
106|Wolf Puncher II|Kill the Corrupted Hunllef without making more than one attuned weapon.|Corrupted Hunllef|Restriction|3404|345
108|Corrupted Gauntlet Speed-Runner|Complete a Corrupted Gauntlet in less than 6 minutes and 30 seconds.|Corrupted Hunllef|Speed|3404|346
118|Gauntlet Speed-Runner|Complete the Gauntlet in less than 4 minutes.|Crystalline Hunllef|Speed|3404|347
143|No Pressure|Kill the Alchemical Hydra using only Dharok's Greataxe as a weapon whilst having no more than 10 Hitpoints throughout the entire fight.|Alchemical Hydra|Restriction|3404|348
145|Alchemical Speed-Runner|Kill the Alchemical Hydra in less than 1 minute 20 seconds.|Alchemical Hydra|Speed|3404|349
151|Denying the Healers II|Complete the Fight Caves without TzTok-Jad being healed by a Yt-HurKot.|TzTok-Jad|Mechanical|3404|350
154|No Time for a Drink|Complete the Fight Caves without losing any prayer points.|TzTok-Jad|Restriction|3404|351
156|Fight Caves Speed-Runner|Complete the Fight Caves in less than 26 minutes and 30 seconds.|TzTok-Jad|Speed|3404|352
186|Terrible Parent|Kill the Nightmare solo without the Parasites healing the boss for more than 100 health.|The Nightmare|Mechanical|3404|353
190|A Long Trip|Kill the Nightmare without any player losing any prayer points.|The Nightmare|Restriction|3404|354
193|Nightmare (Solo) Speed-Runner|Defeat the Nightmare (Solo) in less than 16 minutes.|The Nightmare|Speed|3404|355
196|Nightmare (5-Scale) Speed-Runner|Defeat the Nightmare (5-scale) in less than 3:30 minutes.|The Nightmare|Speed|3404|356
214|Animal Whisperer|Kill Commander Zilyana in a privately rented instance without taking any damage from the boss or bodyguards.|Commander Zilyana|Perfection|3404|357
217|Peach Conjurer|Kill Commander Zilyana 50 times in a privately rented instance without leaving the room.|Commander Zilyana|Stamina|3404|358
232|Zulrah Speed-Runner|Kill Zulrah in less than 54 seconds, without a slayer task.|Zulrah|Speed|3404|359
239|Theatre of Blood Grandmaster|Complete the Theatre of Blood 250 times.|Theatre of Blood|Kill Count|3404|360
243|Perfect Theatre|Complete the Theatre of Blood without anyone dying through any means and whilst everyone in the team completes the following Combat Achievement tasks in a single run: "Perfect Maiden", "Perfect Bloat", "Perfect Nylocas", "Perfect Sotetseg", "Perfect Xarpus" and "Perfect Verzik".|Theatre of Blood|Perfection|3404|361
252|Morytania Only|Complete the Theatre of Blood without any member of the team equipping a non-barrows weapon (except Dawnbringer).|Theatre of Blood|Restriction|3404|362
254|Theatre (Duo) Speed-Runner|Complete the Theatre of Blood (Duo) in less than 26 minutes.|Theatre of Blood|Speed|3404|363
256|Theatre (Trio) Speed-Runner|Complete the Theatre of Blood (Trio) in less than 17 minutes and 30 seconds.|Theatre of Blood|Speed|3404|364
258|Theatre (4-Scale) Speed-Runner|Complete the Theatre of Blood (4-scale) in less than 15 minutes.|Theatre of Blood|Speed|3404|365
260|Theatre (5-Scale) Speed-Runner|Complete the Theatre of Blood (5-scale) in less than 14 minutes and 15 seconds.|Theatre of Blood|Speed|3404|366
274|Faithless Encounter|Kill Vorkath without losing any prayer points.|Vorkath|Restriction|3404|367
275|The Fremennik Way|Kill Vorkath with only your fists.|Vorkath|Restriction|3404|368
277|Vorkath Speed-Runner|Kill Vorkath in less than 54 seconds.|Vorkath|Speed|3404|369
289|Chambers of Xeric: CM Grandmaster|Complete the Chambers of Xeric: Challenge Mode 150 times.|Chambers of Xeric: CM|Kill Count|3404|370
294|Chambers of Xeric: CM (Solo) Speed-Runner|Complete a Chambers of Xeric: Challenge Mode (Solo) in less than 38 minutes and 30 seconds.|Chambers of Xeric: CM|Speed|3404|371
296|Chambers of Xeric: CM (5-Scale) Speed-Runner|Complete a Chambers of Xeric: Challenge Mode (5-scale) in less than 25 minutes.|Chambers of Xeric: CM|Speed|3404|372
298|Chambers of Xeric: CM (Trio) Speed-Runner|Complete a Chambers of Xeric: Challenge Mode (Trio) in less than 27 minutes.|Chambers of Xeric: CM|Speed|3404|373
301|Chambers of Xeric Grandmaster|Complete the Chambers of Xeric 250 times.|Chambers of Xeric|Kill Count|3404|374
323|Chambers of Xeric (Solo) Speed-Runner|Complete a Chambers of Xeric (Solo) in less than 17 minutes.|Chambers of Xeric|Speed|3404|375
327|Chambers of Xeric (Trio) Speed-Runner|Complete a Chambers of Xeric (Trio) in less than 14 minutes and 30 seconds.|Chambers of Xeric|Speed|3404|376
325|Chambers of Xeric (5-Scale) Speed-Runner|Complete a Chambers of Xeric (5-scale) in less than 12 minutes and 30 seconds.|Chambers of Xeric|Speed|3404|377
338|Demon Whisperer|Kill K'ril Tsutsaroth in a privately rented instance without ever being hit by his bodyguards.|K'ril Tsutsaroth|Perfection|3404|378
340|Ash Collector|Kill K'ril Tsutsaroth 20 times in a privately rented instance without leaving the room.|K'ril Tsutsaroth|Stamina|3404|379
342|Inferno Grandmaster|Complete the Inferno 10 times.|TzKal-Zuk|Kill Count|3404|380
343|The Floor Is Lava|Kill TzKal-Zuk without letting Jal-ImKot dig during any wave in the Inferno.|TzKal-Zuk|Mechanical|3404|381
344|Playing with Jads|Complete wave 68 of the Inferno within 30 seconds of the first JalTok-Jad dying.|TzKal-Zuk|Mechanical|3404|382
345|No Luck Required|Kill TzKal-Zuk without being attacked by TzKal-Zuk and without taking damage from a JalTok-Jad.|TzKal-Zuk|Perfection|3404|383
347|Wasn't Even Close|Kill TzKal-Zuk without letting your hitpoints fall below 50 during any wave in the Inferno.|TzKal-Zuk|Restriction|3404|384
348|Budget Setup|Kill TzKal-Zuk without equipping a Twisted Bow within the Inferno.|TzKal-Zuk|Restriction|3404|385
349|Nibbler Chaser|Kill TzKal-Zuk without using any magic spells during any wave in the Inferno.|TzKal-Zuk|Restriction|3404|386
350|Facing Jad Head-on II|Kill TzKal-Zuk without equipping any range or mage weapons before wave 69.|TzKal-Zuk|Restriction|3404|387
351|Jad? What Are You Doing Here?|Kill TzKal-Zuk without killing the JalTok-Jad which spawns during wave 69.|TzKal-Zuk|Restriction|3404|388
352|Inferno Speed-Runner|Complete the Inferno in less than 65 minutes.|TzKal-Zuk|Speed|3404|389
363|The VI Jad Challenge|Complete TzHaar-Ket-Rak's sixth challenge.|TzHaar-Ket-Rak's Challenges|Kill Count|3404|390
366|TzHaar-Ket-Rak's Speed-Runner|Complete TzHaar-Ket-Rak's fifth challenge in less than 5 minutes.|TzHaar-Ket-Rak's Challenges|Speed|3404|391
370|It Wasn't a Fluke|Complete TzHaar-Ket-Rak's fifth and sixth challenges back to back without failing.|TzHaar-Ket-Rak's Challenges|Perfection|3404|392
372|Stop Right There!|Defeat the Maiden of Sugadinti in the Theatre of Blood: Hard Mode without letting blood spawns create more than 15 blood trails.|Theatre of Blood: Hard Mode|Mechanical|3404|393
373|Personal Space|Defeat the Pestilent Bloat in the Theatre of Blood: Hard Mode with a least 3 people in the room, without anyone in your team standing on top of each other.|Theatre of Blood: Hard Mode|Mechanical|3404|394
374|Royal Affairs|In the Theatre of Blood: Hard Mode, complete the Nylocas room without ever letting the Nylocas Prinkipas change styles.|Theatre of Blood: Hard Mode|Mechanical|3404|395
375|Harder Mode I|Defeat Sotetseg in the Theatre of Blood: Hard Mode without anyone sharing the ball with anyone, without anyone dying, and without anyone taking damage from any of its other attacks or stepping on the wrong tile in the maze.|Theatre of Blood: Hard Mode|Perfection|3404|396
376|Harder Mode II|Defeat Xarpus in the Theatre of Blood: Hard Mode after letting the exhumeds heal him to full health and without anyone in the team taking any damage.|Theatre of Blood: Hard Mode|Perfection|3404|397
377|Nylo Sniper|Defeat Verzik Vitur's in the Theatre of Blood: Hard Mode without anyone in your team causing a Nylocas to explode by getting too close.|Theatre of Blood: Hard Mode|Mechanical|3404|398
378|Team Work Makes the Dream Work|When Verzik Vitur in the Theatre of Blood: Hard Mode uses her yellow power blast attack while the tornadoes are active, have everyone get through the attack without taking damage. This cannot be completed with one player alive|Theatre of Blood: Hard Mode|Mechanical|3404|399
379|Harder Mode III|Defeat Verzik Vitur in the Theatre of Blood: Hard Mode without anyone attacking her with a melee weapon during her third phase.|Theatre of Blood: Hard Mode|Restriction|3404|400
380|Pack Like a Yak|Complete the Theatre of Blood: Hard Mode within the challenge time, with no deaths and without anyone buying anything from a supply chest.|Theatre of Blood: Hard Mode|Restriction|3404|401
382|Theatre: HM (Trio) Speed-Runner|Complete the Theatre of Blood: Hard Mode (Trio) with an overall time of less than 23 minutes.|Theatre of Blood: Hard Mode|Speed|3404|402
383|Theatre: HM (4-Scale) Speed-Runner|	Complete the Theatre of Blood: Hard Mode (4-scale) with an overall time of less than 21 minutes.|Theatre of Blood: Hard Mode|Speed|3404|403
384|Theatre: HM (5-Scale) Speed-Runner|Complete the Theatre of Blood: Hard Mode (5-scale) with an overall time of less than 19 minutes.|Theatre of Blood: Hard Mode|Speed|3404|404
385|Theatre of Blood: HM Grandmaster|Complete the Theatre of Blood: Hard Mode 100 times.|Theatre of Blood: Hard Mode|Kill Count|3404|405
402|Phosani's Veteran|Kill Phosani's Nightmare 100 times.|Phosani's Nightmare|Kill Count|3404|406
403|Perfect Phosani's Nightmare|Kill Phosani's Nightmare while only taking damage from husks, power blasts and weakened parasites. Also, without becoming infected by spores or letting a sleepwalker reach Phosani's Nightmare.|Phosani's Nightmare|Perfection|3404|407
405|Phosani's Speedrunner|Kill Phosani's Nightmare within 7 minutes and 30 seconds.|Phosani's Nightmare|Speed|3404|408
409|Can't Wake Up|Kill Phosani's Nightmare 5 times in a row without leaving Phosani's Dream.|Phosani's Nightmare|Stamina|3404|409
